stateAbbr,stateName,overFiveYears,firstMarriage
AL,Alabama,6.82,27.35
AK,Alaska,11.72,27.9
AZ,Arizona,6.64,28.45
AR,Arkansas,8.89,26.5
CA,California,8.55,29.45
CO,Colorado,8.69,27.9
CT,Connecticut,4.83,30.1
DE,Delaware,4.62,29.65
DC,District of Columbia,2.70,30.1
FL,Florida,6.16,29.3
GA,Georgia,6.29,27.95
HI,Hawaii,9.74,27.55
ID,Idaho,12.88,26
IL,Illinois,7.08,29.3
IN,Indiana,8.72,27.75
IA,Iowa,6.99,26.8
KS,Kansas,8.16,27.05
KY,Kentucky,6.96,26.95
LA,Louisiana,5.72,28.9
ME,Maine,6.13,29
MD,Maryland,3.16,29.5
MA,Massachusetts,2.39,30.25
MI,Michigan,5.39,28.7
MN,Minnesota,6.55,28.5
MS,Mississippi,7.21,27.45
MO,Missouri,8.59,27.7
MT,Montana,9.88,27.55
NE,Nebraska,9.26,27
NV,Nevada,9.16,28.85
NH,New Hampshire,5.15,28.7
NJ,New Jersey,5.02,30
NM,New Mexico,10.76,28.5
NY,New York,4.78,30.15
NC,North Carolina,5.60,28
ND,North Dakota,8.82,27.3
OH,Ohio,7.27,28.35
OK,Oklahoma,10.79,26.15
OR,Oregon,9.00,28.5
PA,Pennsylvania,5.95,29.25
RI,Rhode Island,2.64,29.95
SC,South Carolina,7.81,28
SD,South Dakota,9.82,27.1
TN,Tennessee,5.42,27.4
TX,Texas,8.18,27.4
UT,Utah,11.47,25.3
VT,Vermont,5.97,28.3
VA,Virginia,6.11,28.2
WA,Washington,7.69,28.1
WV,West Virginia,6.64,27.35
WI,Wisconsin,6.53,28.25
WY,Wyoming,11.17,26.7
PR,Puerto Rico,3.44,29.85
